date,arrivals,year,month,month_sin,month_cos,lag_1,lag_12,rolling_mean_3
2024-06-01,113470.0,2024,6,1.2246467991473532e-16,-1.0,112128.0,100380.0,124821.66666666667
2024-07-01,187810.0,2024,7,-0.4999999999999997,-0.8660254037844388,113470.0,143038.0,137802.66666666666
2024-08-01,164609.0,2024,8,-0.8660254037844385,-0.5000000000000004,187810.0,136403.0,155296.33333333334
2024-09-01,122140.0,2024,9,-1.0,-1.8369701987210297e-16,164609.0,111933.0,158186.33333333334
2024-10-01,135907.0,2024,10,-0.8660254037844386,0.5000000000000001,122140.0,109196.0,140885.33333333334
2024-11-01,184158.0,2024,11,-0.5000000000000004,0.8660254037844384,135907.0,151496.0,147401.66666666666
2024-12-01,248592.0,2024,12,-2.4492935982947064e-16,1.0,184158.0,210336.0,189552.33333333334
2025-01-01,79979.0,2025,1,0.49999999999999994,0.8660254037844387,248592.0,208253.0,170909.66666666666
2025-02-01,80235.0,2025,2,0.8660254037844386,0.5000000000000001,79979.0,218350.0,136268.66666666666
2025-03-01,74782.0,2025,3,1.0,6.123233995736766e-17,80235.0,209181.0,78332.0
2025-04-01,56984.0,2025,4,0.8660254037844387,-0.4999999999999998,74782.0,148867.0,70667.0
2025-05-01,41905.0,2025,5,0.49999999999999994,-0.8660254037844387,56984.0,112128.0,57890.333333333336
2025-06-01,40927.0,2025,6,1.2246467991473532e-16,-1.0,41905.0,113470.0,46605.333333333336
2025-07-01,64897.0,2025,7,-0.4999999999999997,-0.8660254037844388,40927.0,187810.0,49243.0
2025-08-01,59655.0,2025,8,-0.8660254037844385,-0.5000000000000004,64897.0,164609.0,55159.666666666664
2025-09-01,47343.0,2025,9,-1.0,-1.8369701987210297e-16,59655.0,122140.0,57298.333333333336
2025-10-01,48746.0,2025,10,-0.8660254037844386,0.5000000000000001,47343.0,135907.0,51914.666666666664
2025-11-01,62012.0,2025,11,-0.5000000000000004,0.8660254037844384,48746.0,184158.0,52700.333333333336
2025-12-01,74541.0,2025,12,-2.4492935982947064e-16,1.0,62012.0,248592.0,61766.333333333336
